Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677278929,0,0,0,22.4907421875,59512,35.40738191983819,996.8606538463868,137.35488473683057
1677278930,0,0,0,22.5055859375,3795,34.960466191710935,996.8713406123608,137.2647278837239
1677278931,0,0,0,22.537421875,5604,34.43531195538305,996.8717319788153,137.26142621049058
1677278933,0,0,0,22.5653515625,7466,33.91736486428926,996.8708770612633,137.268638527488
1677278934,0,0,0,22.587421875,9444,33.40640050805723,996.8795594265923,137.19539196489583
1677278935,0,0,0,22.6063671875,11540,32.94850743094727,996.8795279774597,137.1956572765571
1677278936,0,0,0,22.619453125,13526,32.54869162756316,996.8785105671938,137.20424037250126
1677278937,0,0,0,22.62609375,15555,32.200741652249036,996.875532545274,137.2293636587483
1677278939,0,0,0,22.629609375,17580,31.90459465829573,996.8761230734813,137.2243818204731
1677278940,0,0,0,22.632734375,19531,31.631754614381688,996.8690454007739,137.28409093043123
1677278941,0,0,1,22.63390625,21518,31.39330737612295,996.8692422047704,137.28243063546995
1677278942,0,0,1,22.6333203125,23578,31.189102770708857,996.8752843270081,137.23145768857052
1677278943,0,0,1,22.630390625,25297,30.996308359282963,996.8704062039693,137.27261080982575
1677278945,0,0,0,22.627265625,27236,30.820715991423658,996.8757293933568,137.22770300061583
1677278946,0,0,0,22.621015625,29210,30.695892881921147,996.8776034788489,137.21189277452734
1677278947,0,0,0,22.6153515625,31027,30.571232060123904,996.8769442312853,137.2174543393163
1677278948,0,0,0,22.6114453125,32646,30.46938182930076,996.8809661868492,137.18352423909678
1677278949,0,0,0,22.6067578125,34358,30.39007800088546,996.8801784164544,137.19017003438174
1677278951,0,0,0,22.5997265625,36229,30.29936079677295,996.8877683256376,137.12614015501003
1677278952,0,0,0,22.5925,37900,30.23682750534779,996.888015320866,137.1240564641552
1677278953,0,0,0,22.5868359375,39656,30.180080305587946,996.8908639194422,137.10002526575357
1677278954,0,0,0,22.5833203125,41338,30.129160508667994,996.9007984944183,137.01621615875584
1677278955,0,0,0,22.5805859375,42948,30.100814794824643,996.9102795707315,136.93623344426146
1677278956,0,0,0,22.57765625,44310,30.07245879691605,996.9141724331568,136.90339328956088
1677278958,0,0,0,22.5735546875,46266,30.044011199873967,996.9143594903745,136.90181527905847
1677278959,0,0,0,22.5688671875,47849,30.015521017932976,996.915325003391,136.89367023667594
1677278960,0,0,0,22.5649609375,49228,29.981483996346462,996.9070658747665,136.96334423465075
1677278961,0,0,0,22.5596875,50718,29.9585756893496,996.9175809449093,136.87463919832337
1677278962,0,0,0,22.5536328125,52269,29.929990783174276,996.9022356031329,137.00409261626925
1677278964,0,0,0,22.5505078125,53573,29.896040867662496,996.9058027429122,136.97400005448384
1677278965,0,0,0,22.5473828125,55161,29.86771268637518,996.9005987825665,137.017900942033
1677278966,0,0,0,22.5434765625,56425,29.850550420393756,996.9098815881792,136.93959082757522
1677278967,0,0,0,22.5403515625,58068,29.822232063158403,996.918711054675,136.86510564767985
1677278968,0,0,0,22.53625,59176,29.79383899818189,996.9206515726893,136.84873555314448
1677278970,0,0,0,22.5317578125,60720,29.782247764876207,996.9254497996407,136.80825810678624
1677278971,0,0,0,22.526484375,62255,29.753766762428178,996.9254385184289,136.80835327397074
1677278972,0,0,0,22.52140625,63772,29.74213101013939,996.9257523791555,136.80570557627183
1677278973,0,0,0,22.5159375,64708,29.730464206427474,996.9306779509257,136.7641540338277
1677278974,0,0,0,22.510859375,65775,29.741260218197464,996.9257292079902,136.8059010458824
1677278976,0,0,0,22.50421875,67146,29.729497028245387,996.9216864595797,136.84000531945017
1677278977,0,0,0,22.49796875,68296,29.72337418717089,996.9147859979192,136.89821727185287
1677278978,0,0,0,22.4926953125,69601,29.71733232648006,996.9182821325195,136.86872401294943
1677278979,0,0,0,22.4872265625,70898,29.69445668636549,996.916190684628,136.88636737798382
1677278980,0,0,0,22.4815625,71871,29.70520145416249,996.9155278921988,136.89195867284388
1677278982,0,0,0,22.476875,73318,29.704814954554905,996.9129833286981,136.91342455376534
1677278983,0,0,0,22.4723828125,74360,29.693233151140397,996.8984859709369,137.0357247867957
1677278984,0,0,0,22.469453125,75364,29.704203036195903,996.9023768371277,137.00290115787675
1677278985,0,0,0,22.4669140625,76604,29.709599686578887,996.905164200165,136.97938682523463
1677278986,0,0,0,22.4628125,77887,29.714867649130476,996.9071032544771,136.96302889841218
1677278987,0,0,0,22.456171875,78766,29.70871398430233,996.9013056336028,137.01193789802713
1677278989,0,0,0,22.4508984375,80585,29.725097886818197,996.9048006786427,136.9824535077821
1677278990,0,0,0,22.444453125,81210,29.707747878923712,996.9010820490927,137.01382407197647
1677278991,0,0,0,22.4391796875,82408,29.701707553142633,996.8958072021221,137.05832313478115
1677278992,0,0,0,22.4341015625,83559,29.71810636499358,996.8996270921264,137.02609819506264
1677278993,0,0,0,22.4315625,84915,29.71229104560912,996.9024139177506,137.00258834355432
1677278995,0,0,0,22.4290234375,85348,29.712081734159465,996.896431272544,137.05305841307143
1677278996,0,0,0,22.4262890625,86404,29.71746222843555,996.8971388647443,137.04708909635426
1677278997,0,0,0,22.4227734375,87305,29.711566530043882,996.9000529885411,137.02250530034595
1677278998,0,0,0,22.418671875,88225,29.722440273138687,996.9037450005079,136.9913592571814
1677278999,0,0,0,22.414765625,89354,29.7221182000086,996.9042544974499,136.98706111654363
1677279001,0,0,0,22.4110546875,90318,29.7162063160117,996.8945662057101,137.06879231496833
1677279002,0,0,0,22.4071484375,91104,29.73270262421988,996.900337095002,137.0201085572084
1677279003,0,0,0,22.405,92106,29.738131972337953,996.8950050036774,137.06509056656728
1677279004,0,0,0,22.401875,93027,29.73787422786372,996.8880464491838,137.12379386076714
1677279005,0,0,0,22.399921875,94283,29.737713141917165,996.8900549074802,137.10685020452277
1677279007,0,0,0,22.3971875,94817,29.726275007883245,996.8872545489119,137.13047445815147
1677279008,0,0,0,22.393671875,95684,29.742804291407,996.8849067799442,137.15028063802305
1677279009,0,0,0,22.392109375,94313,29.742675413235443,996.8910733168592,137.098258760406
1677279010,0,0,0,22.392109375,95279,29.753889253016702,996.8893195331532,137.11305392973279
1677279011,0,0,0,22.3895703125,95824,29.776110017313762,996.8903519705381,137.10434413824245
1677279013,0,0,0,22.3876171875,96821,29.77034089803512,996.8853451919931,137.1465821162598
1677279014,0,0,0,22.3860546875,98068,29.764604296092728,996.8862503268545,137.13894624226947
1677279015,0,0,0,22.38390625,98529,29.753212463682242,996.88267201924,137.16913349597837
1677279016,0,0,0,22.381953125,99525,29.736231308212716,996.8741577491253,137.2409617796351
1677279017,0,0,0,22.3805859375,100782,29.74172500287098,996.8753881631173,137.2305817017808
1677279018,0,0,0,22.3784375,100843,29.72472928736343,996.8788248546692,137.20158897373034
1677279020,0,0,0,22.376484375,102134,29.72456829253977,996.8825868066045,137.16985236633764
1677279021,0,0,0,22.3753125,103331,29.718866011280912,996.8771275129063,137.21590813290925
1677279022,0,0,0,22.37375,103459,29.729948796493048,996.8797862987687,137.19347802251446
1677279023,0,0,0,22.3727734375,105545,29.7130513314092,996.881667244434,137.17760997472507
1677279024,0,0,0,22.370625,105148,29.718479703330605,996.8745814503533,137.23738732973263
1677279026,0,0,0,22.3688671875,106013,29.712729466441893,996.8821760471682,137.17331761348504
1677279027,0,0,0,22.368671875,107097,29.70710822522109,996.8783433019291,137.20565145960333
1677279028,0,0,0,22.36828125,107510,29.71268118785069,996.8741852557838,137.24072972652067
1677279029,0,0,0,22.367109375,108979,29.706979503633555,996.881002011962,137.18322201107767
1677279030,0,0,0,22.3673046875,109263,29.712600724200957,996.8795736019591,137.19527237844574
1677279032,0,0,0,22.3680859375,109406,29.712665095053858,996.8808748243148,137.1842949922643
1677279033,0,0,0,22.3665234375,109908,29.70132633880026,996.8817798079482,137.17666036633742
1677279034,0,0,0,22.363984375,111001,29.717932466717595,996.8810582401708,137.1827476583587
1677279035,0,0,0,22.3606640625,111592,29.72326435777197,996.8790354183902,137.1998126119112
1677279036,0,0,0,22.358125,112416,29.717449642997323,996.8765601112691,137.22069486591147
1677279038,0,0,0,22.356953125,113329,29.722958528315303,996.8693472017368,137.28154485106137
1677279039,0,0,0,22.3548046875,113868,29.722781474677035,996.8692761999811,137.2821438421539
1677279040,0,0,0,22.3532421875,115358,29.73386418353766,996.8754421339494,137.23012639068142
1677279041,0,0,0,22.3524609375,115358,29.722588329870987,996.8741408970122,137.24110394831231
1677279042,0,0,0,22.350703125,115757,29.739260922229924,996.8747204571905,137.23621463343144
1677279044,0,0,0,22.348359375,116239,29.739067694143536,996.8725704039368,137.25435303298303
1677279045,0,0,0,22.3462109375,117297,29.75010321485117,996.8724993110005,137.25495279172995
1677279046,0,0,0,22.343671875,118626,29.76110730644065,996.8700239233267,137.27583583615694
1677279047,0,0,0,22.3407421875,118291,29.760865637330255,996.8721588352689,137.25782513522174
1677279048,0,0,0,22.3380078125,118710,29.771854318616292,996.8728653682734,137.2518646364703
1677279049,0,0,0,22.3356640625,119986,29.771660933256094,996.8794833835591,137.196033480324
1677279051,0,0,0,22.3325390625,120851,29.765795936013784,996.8777855610477,137.21035668754408
1677279052,0,0,0,22.3309765625,121201,29.771274177013133,996.8716757874904,137.26190025563793
1677279053,0,0,0,22.3294140625,122442,29.782360172795187,996.8708268724262,137.26906193432234
